image		correctness	Done
-------------------------------------
1.jpg		7/8 (87.5%)	ok	
2.jpg		7/8 (87.5%)	ok
3.jpg		8/8 (100%)	ok
4.jpg		8/8 (100%)	ok
5.jpg		8/8 (100%)	ok
6.jpg		8/8 (100%)	ok
7.jpg		7/8 (87.5%)	ok
8.jpg		8/8 (100%)	ok
9.jpg		8/8 (100%)	ok
10.jpg		8/8 (100%)	ok
11.jpg		8/8 (100%)	ok
12.jpg		8/8 (100%)	ok
13.jpg		8/8 (100%)	ok
14.jpg		7/8 (87.5%)	ok
15.jpg		8/8 (100%)	ok
16.jpg		8/8 (100%)	ok
17.jpg		8/8 (100%)	ok
18.jpg		8/8 (100%)	ok
19.jpg		8/8 (100%)	ok
20.jpg		8/8 (100%)	ok
21.jpg		8/8 (100%)	ok
22.jpg		3/8 (37.5%)	ok
23.jpg		8/8 (100%)	ok
24.jpg		8/8 (100%)	ok
25.jpg		8/8 (100%)	ok
26.jpg		3/8 (37.5%)	ok
27.jpg		8/8 (100%)	ok
28.jpg		8/8 (100%)	ok
29.jpg		7/8 (87.5%)	ok
30.jpg		8/8 (100%)	ok
31.jpg		8/8 (100%)	ok
32.jpg		8/8 (100%)	ok
33.jpg		8/8 (100%)	ok
34.jpg		8/8 (100%)	ok
35.jpg		8/8 (100%)	ok
36.jpg		8/8 (100%)	ok
37.jpg		8/8 (100%)	ok
38.jpg		3/8 (37.5%)	ok
39.jpg		8/8 (100%)	ok
40.jpg		5/8 (62.5%)	ok
41.jpg		8/8 (100%)	ok
42.jpg		8/8 (100%)	ok
43.jpg		8/8 (100%)	ok
44.jpg		8/8 (100%)	ok
45.jpg		8/8 (100%)	ok
46.jpg		8/8 (100%)	ok
47.jpg		8/8 (100%)	ok
48.jpg		8/8 (100%)	ok
49.jpg		8/8 (100%)	ok
50.jpg		8/8 (100%)	ok
51.jpg		6/8 (75%)	ok
52.jpg		6/8 (75%)	ok
53.jpg		8/8 (100%)	ok
54.jpg		8/8 (100%)	ok
55.jpg		8/8 (100%)	ok
56.jpg		8/8 (100%)	ok
57.jpg		6/8 (75%)	ok
58.jpg		8/8 (100%)	ok
59.jpg		8/8 (100%)	ok
60.jpg		7/8 (87.5%)	ok
61.jpg		8/8 (100%)	ok
62.jpg		8/8 (100%)	ok
63.jpg		8/8 (100%)	ok
64.jpg		8/8 (100%)	ok
65.jpg		8/8 (100%)	ok
66.jpg		7/8 (87.5%)	ok
67.jpg		8/8 (100%)	ok
68.jpg		1/8 (12.5%)	ok
69.jpg		6/8 (75%)	ok
70.jpg		7/8 (87.5%)	ok
71.jpg		7/8 (87.5%)	ok
72.jpg		7/8 (87.5%)	ok
73.jpg		8/8 (100%)	ok
74.jpg		7/8 (87.5%)	ok
75.jpg		8/8 (100%)	ok
76.jpg		8/8 (100%)	ok
77.jpg		7/8 (87.5%)	ok	
78.jpg		8/8 (100%)	ok
79.jpg		6/8 (75%)	ok
80.jpg		8/8 (100%)	ok
81.jpg		8/8 (100%)	ok
82.jpg		8/8 (100%)	ok
83.jpg		8/8 (100%)	ok
84.jpg		8/8 (100%)	ok
85.jpg		5/8 (62.5%)	ok
86.jpg		8/8 (100%)	ok
87.jpg		6/8 (75%)	ok
88.jpg		8/8 (100%)	ok
89.jpg		8/8 (100%)	ok
90.jpg		8/8 (100%)	ok
91.jpg		7/8 (87.5%)	ok
92.jpg		8/8 (100%)	ok
93.jpg		8/8 (100%)	ok
94.jpg		8/8 (100%)	ok
95.jpg		8/8 (100%)	ok
96.jpg		8/8 (100%)	ok
97.jpg		8/8 (100%)	ok
98.jpg		8/8 (100%)	ok
99.jpg		8/8 (100%)	ok
100.jpg		7/8 (87.5%)	ok

----------------------------------
100 license plates 
800 total characters.
62 invalid characters.
92.25 Total correctness.
